option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP
0.2 m / 7 in,020CM,$2.68,$2.90,$6.08,$6.30,$7.08,$7.30,$4.92,$5.36,$9.32,$9.76,$13.32,$13.76,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.02,$5.44,$9.42,$9.84,$13.42,$13.84,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.02,$5.44,$9.42,$9.84,$13.42,$13.84,$2.50,$2.52,$5.10,$5.12,$6.10,$6.12,$5.00,$5.04,$10.20,$10.24,$12.20,$12.24
0.3 m / 1 ft,001FT,$2.72,$2.96,$6.09,$6.32,$7.12,$7.36,$4.99,$5.45,$9.39,$9.85,$13.39,$13.85,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.14,$5.57,$9.54,$9.97,$13.54,$13.97,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.14,$5.57,$9.54,$9.97,$13.54,$13.97,$2.56,$2.59,$5.16,$5.19,$6.16,$6.19,$5.11,$5.17,$10.31,$10.37,$12.31,$12.37
0.5 m / 1.64 ft,050CM,$2.80,$3.05,$6.15,$6.40,$7.20,$7.45,$5.10,$5.60,$9.50,$10.00,$13.50,$14.00,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.35,$5.80,$9.75,$10.20,$13.75,$14.20,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.35,$5.80,$9.75,$10.20,$13.75,$14.20,$2.65,$2.70,$5.25,$5.30,$6.25,$6.30,$5.30,$5.40,$10.50,$10.60,$12.50,$12.60
0.6 m / 2 ft,002FT,$2.84,$3.11,$6.18,$6.44,$7.24,$7.51,$5.17,$5.69,$9.57,$10.09,$13.57,$14.09,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.47,$5.93,$9.87,$10.33,$13.87,$14.33,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.47,$5.93,$9.87,$10.33,$13.87,$14.33,$2.71,$2.77,$5.31,$5.37,$6.31,$6.37,$5.41,$5.53,$10.61,$10.73,$12.61,$12.73
0.91 m / 3 ft,003FT,$2.96,$3.26,$6.27,$6.56,$7.36,$7.66,$5.35,$5.93,$9.75,$10.33,$13.75,$14.33,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.80,$6.29,$10.20,$10.69,$14.20,$14.69,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.80,$6.29,$10.20,$10.69,$14.20,$14.69,$2.86,$2.95,$5.46,$5.55,$6.46,$6.55,$5.71,$5.89,$10.91,$11.09,$12.91,$13.09
1 m / 3.28 ft,001M,$3.00,$3.30,$6.30,$6.60,$7.40,$7.70,$5.40,$6.00,$9.80,$10.40,$13.80,$14.40,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.90,$6.40,$10.30,$10.80,$14.30,$14.80,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.90,$6.40,$10.30,$10.80,$14.30,$14.80,$2.90,$3.00,$5.50,$5.60,$6.50,$6.60,$5.80,$6.00,$11.00,$11.20,$13.00,$13.20
1.21 m / 4 ft,004FT,$3.08,$3.41,$6.36,$6.68,$7.48,$7.81,$5.53,$6.17,$9.93,$10.57,$13.93,$14.57,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$6.13,$6.65,$10.53,$11.05,$14.53,$15.05,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$6.13,$6.65,$10.53,$11.05,$14.53,$15.05,$3.01,$3.13,$5.61,$5.73,$6.61,$6.73,$6.01,$6.25,$11.21,$11.45,$13.21,$13.45
1.5 m / 4.92 ft,150CM,$3.20,$3.55,$6.45,$6.80,$7.60,$7.95,$5.70,$6.40,$10.10,$10.80,$14.10,$14.80,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$6.45,$7.00,$10.85,$11.40,$14.85,$15.40,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$6.45,$7.00,$10.85,$11.40,$14.85,$15.40,$3.15,$3.30,$5.75,$5.90,$6.75,$6.90,$6.30,$6.60,$11.50,$11.80,$13.50,$13.80
1.52 m / 5 ft,005FT,$3.21,$3.56,$6.46,$6.81,$7.61,$7.96,$5.71,$6.42,$10.11,$10.82,$14.11,$14.82,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$6.47,$7.02,$10.87,$11.42,$14.87,$15.42,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$6.47,$7.02,$10.87,$11.42,$14.87,$15.42,$3.16,$3.31,$5.76,$5.91,$6.76,$6.91,$6.32,$6.62,$11.52,$11.82,$13.52,$13.82
1.82 m / 6 ft,006FT,$3.33,$3.71,$6.55,$6.93,$7.73,$8.11,$5.89,$6.66,$10.29,$11.06,$14.29,$15.06,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.80,$7.38,$11.20,$11.78,$15.20,$15.78,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.80,$7.38,$11.20,$11.78,$15.20,$15.78,$3.31,$3.49,$5.91,$6.09,$6.91,$7.09,$6.62,$6.98,$11.82,$12.18,$13.82,$14.18
2 m / 6.56 ft,002M,$3.40,$3.80,$6.60,$7.00,$7.80,$8.20,$6.00,$6.80,$10.40,$11.20,$14.40,$15.20,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$7.00,$7.60,$11.40,$12.00,$15.40,$16.00,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$7.00,$7.60,$11.40,$12.00,$15.40,$16.00,$3.40,$3.60,$6.00,$6.20,$7.00,$7.20,$6.80,$7.20,$12.00,$12.40,$14.00,$14.40
2.12 m / 7 ft,007FT,$3.45,$3.86,$6.64,$7.05,$7.85,$8.26,$6.07,$6.90,$10.47,$11.30,$14.47,$15.30,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$7.13,$7.74,$11.53,$12.14,$15.53,$16.14,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$7.13,$7.74,$11.53,$12.14,$15.53,$16.14,$3.46,$3.67,$6.06,$6.27,$7.06,$7.27,$6.92,$7.34,$12.12,$12.54,$14.12,$14.54
2.43 m / 8 ft,008FT,$3.57,$4.02,$6.73,$7.17,$7.97,$8.42,$6.26,$7.14,$10.66,$11.54,$14.66,$15.54,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$7.47,$8.12,$11.87,$12.52,$15.87,$16.52,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$7.47,$8.12,$11.87,$12.52,$15.87,$16.52,$3.62,$3.86,$6.22,$6.46,$7.22,$7.46,$7.23,$7.72,$12.43,$12.92,$14.43,$14.92
2.5 m /  8.20 ft,250CM,$3.60,$4.05,$6.75,$7.20,$8.00,$8.45,$6.30,$7.20,$10.70,$11.60,$14.70,$15.60,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$7.55,$8.20,$11.95,$12.60,$15.95,$16.60,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$7.55,$8.20,$11.95,$12.60,$15.95,$16.60,$3.65,$3.90,$6.25,$6.50,$7.25,$7.50,$7.30,$7.80,$12.50,$13.00,$14.50,$15.00
2.74 m / 9 ft,009FT,$3.70,$4.17,$6.82,$7.30,$8.10,$8.57,$6.44,$7.39,$10.84,$11.79,$14.84,$15.79,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$7.81,$8.49,$12.21,$12.89,$16.21,$16.89,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$7.81,$8.49,$12.21,$12.89,$16.21,$16.89,$3.77,$4.04,$6.37,$6.64,$7.37,$7.64,$7.54,$8.09,$12.74,$13.29,$14.74,$15.29
3 m / 9.84 ft,003M,$3.80,$4.30,$6.90,$7.40,$8.20,$8.70,$6.60,$7.60,$11.00,$12.00,$15.00,$16.00,$4.40,$4.90,$7.80,$8.30,$8.80,$9.30,$8.10,$8.80,$12.50,$13.20,$16.50,$17.20,$4.40,$4.90,$7.80,$8.30,$8.80,$9.30,$8.10,$8.80,$12.50,$13.20,$16.50,$17.20,$3.90,$4.20,$6.50,$6.80,$7.50,$7.80,$7.80,$8.40,$13.00,$13.60,$15.00,$15.60
3.05 m / 10 ft,010FT,$3.82,$4.33,$6.92,$7.42,$8.22,$8.73,$6.63,$7.64,$11.03,$12.04,$15.03,$16.04,$4.43,$4.94,$7.83,$8.34,$8.83,$9.34,$8.16,$8.86,$12.56,$13.26,$16.56,$17.26,$4.43,$4.94,$7.83,$8.34,$8.83,$9.34,$8.16,$8.86,$12.56,$13.26,$16.56,$17.26,$3.93,$4.23,$6.53,$6.83,$7.53,$7.83,$7.85,$8.46,$13.05,$13.66,$15.05,$15.66
3.5 m / 11.48 ft,350CM,$4.00,$4.55,$7.05,$7.60,$8.40,$8.95,$6.90,$8.00,$11.30,$12.40,$15.30,$16.40,$4.70,$5.25,$8.10,$8.65,$9.10,$9.65,$8.65,$9.40,$13.05,$13.80,$17.05,$17.80,$4.70,$5.25,$8.10,$8.65,$9.10,$9.65,$8.65,$9.40,$13.05,$13.80,$17.05,$17.80,$4.15,$4.50,$6.75,$7.10,$7.75,$8.10,$8.30,$9.00,$13.50,$14.20,$15.50,$16.20
3.65 m / 12 ft,012FT,$4.06,$4.63,$7.10,$7.66,$8.46,$9.03,$6.99,$8.12,$11.39,$12.52,$15.39,$16.52,$4.79,$5.36,$8.19,$8.76,$9.19,$9.76,$8.82,$9.58,$13.22,$13.98,$17.22,$17.98,$4.79,$5.36,$8.19,$8.76,$9.19,$9.76,$8.82,$9.58,$13.22,$13.98,$17.22,$17.98,$4.23,$4.59,$6.83,$7.19,$7.83,$8.19,$8.45,$9.18,$13.65,$14.38,$15.65,$16.38
4 m / 13.12 ft,004M,$4.20,$4.80,$7.20,$7.80,$8.60,$9.20,$7.20,$8.40,$11.60,$12.80,$15.60,$16.80,$5.00,$5.60,$8.40,$9.00,$9.40,$10.00,$9.20,$10.00,$13.60,$14.40,$17.60,$18.40,$5.00,$5.60,$8.40,$9.00,$9.40,$10.00,$9.20,$10.00,$13.60,$14.40,$17.60,$18.40,$4.40,$4.80,$7.00,$7.40,$8.00,$8.40,$8.80,$9.60,$14.00,$14.80,$16.00,$16.80
4.26 m / 14 ft,014FT,$4.30,$4.93,$7.28,$7.90,$8.70,$9.33,$7.36,$8.61,$11.76,$13.01,$15.76,$17.01,$5.16,$5.78,$8.56,$9.18,$9.56,$10.18,$9.49,$10.31,$13.89,$14.71,$17.89,$18.71,$5.16,$5.78,$8.56,$9.18,$9.56,$10.18,$9.49,$10.31,$13.89,$14.71,$17.89,$18.71,$4.53,$4.96,$7.13,$7.56,$8.13,$8.56,$9.06,$9.91,$14.26,$15.11,$16.26,$17.11
4.57 m / 15 ft,015FT,$4.43,$5.09,$7.37,$8.03,$8.83,$9.49,$7.54,$8.86,$11.94,$13.26,$15.94,$17.26,$5.34,$6.00,$8.74,$9.40,$9.74,$10.40,$9.83,$10.68,$14.23,$15.08,$18.23,$19.08,$5.34,$6.00,$8.74,$9.40,$9.74,$10.40,$9.83,$10.68,$14.23,$15.08,$18.23,$19.08,$4.69,$5.14,$7.29,$7.74,$8.29,$8.74,$9.37,$10.28,$14.57,$15.48,$16.57,$17.48
4.87 m / 16 ft,016FT,$4.55,$5.24,$7.46,$8.15,$8.95,$9.64,$7.72,$9.10,$12.12,$13.50,$16.12,$17.50,$5.52,$6.21,$8.92,$9.61,$9.92,$10.61,$10.16,$11.04,$14.56,$15.44,$18.56,$19.44,$5.52,$6.21,$8.92,$9.61,$9.92,$10.61,$10.16,$11.04,$14.56,$15.44,$18.56,$19.44,$4.84,$5.32,$7.44,$7.92,$8.44,$8.92,$9.67,$10.64,$14.87,$15.84,$16.87,$17.84
